New_clientroomId	New_name
0C1946A2-5151-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Service Desk Area Monitors 331
B48749F1-5151-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Quartz (Granite) Conference Room 577
EA23257A-5251-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Marie Curie Conference Room 250
222DBEC7-5251-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Conference Room 375 (Next to J Blosensky Office)
2E6BDF1A-5351-E111-B8FE-00215ABCD1C5	VWR International - Radnor, PA - Archimedes Conference Room 265
7B0B0E01-9851-E111-B8FE-00215ABCD1C5	Teva - Horsham Training Room 215
285506A9-9B51-E111-B8FE-00215ABCD1C5	Teva - Horsham Conference Room 216
F351D62D-9F51-E111-B8FE-00215ABCD1C5	Teva - Horsham Divisible Room 214
B4EA161C-B551-E111-B8FE-00215ABCD1C5	Teva - Horsham  Divisible Room 213
9AA6B6AE-B851-E111-B8FE-00215ABCD1C5	Teva - Horsham Divisible Room 211
A016C074-BE51-E111-B8FE-00215ABCD1C5	Teva - Horsham Divisible Room 212
F49E35AD-5652-E111-B8FE-00215ABCD1C5	Fox Rothschild - Princeton  Boardroom
DE4E8751-5A52-E111-B8FE-00215ABCD1C5	Fox Rothschild - Pitt Boardroom
28BF88CC-5D52-E111-B8FE-00215ABCD1C5	Fox Rothschild - Phila - 20C
94674BE6-5D52-E111-B8FE-00215ABCD1C5	Fox Rothschild - DC  Boardroom
9658E538-0553-E111-B8FE-00215ABCD1C5	Susquehanna Health - Radiology Conference Room E01-117
E8D22430-3453-E111-B8FE-00215ABCD1C5	Brandywine Realty Trust - Plymouth Meeting - Conference Room
B2804A8E-4753-E111-B8FE-00215ABCD1C5	Toll Brothers - Horsham - Executive Boardroom
6A19FA14-9D53-E111-B8FE-00215ABCD1C5	Susquehanna Health - Conference Room E01-271 ER
88C3A439-9E53-E111-B8FE-00215ABCD1C5	Susquehanna Health System - Williamsport, PA - Maple Room 03-150 (Room A)
B61A5D33-9F53-E111-B8FE-00215ABCD1C5	Susquehanna Health System - Williamsport, PA - Elm Room 03-153 (Room C)
74237929-A053-E111-B8FE-00215ABCD1C5	Susquehanna Health System - Williamsport, PA - Walnut Room (Med Hall) 03-161
E81D4D55-A053-E111-B8FE-00215ABCD1C5	Susquehanna Health- Telemetry Classroom 06-218
6669EE76-A053-E111-B8FE-00215ABCD1C5	Susquehanna Health - Telemetry Conference Room 06-224
68FF9BBD-A053-E111-B8FE-00215ABCD1C5	Susquehanna Health - Staff Conference Room 06-265
BA985707-A153-E111-B8FE-00215ABCD1C5	Susquehanna Health - Cherry Room 03-153 (Room D)
9AB19E5D-A153-E111-B8FE-00215ABCD1C5	Susquehanna Health System - Williamsport, PA - Pine Room 03-153 (Room E)
D8AC2D6C-A253-E111-B8FE-00215ABCD1C5	Susquehanna Health System - Williamsport, PA - Oak Room 03-150 (Room B)
4CF48BC1-DD53-E111-B8FE-00215ABCD1C5	Cooper Health System - Camden, NJ - Boardroom
F6E5D6D0-E253-E111-B8FE-00215ABCD1C5	Graham Company - Philadelphia - Conference Room 25C & 25D
08F19844-E553-E111-B8FE-00215ABCD1C5	Graham Company - Philadelphia - Boardroom
0CD78A10-E853-E111-B8FE-00215ABCD1C5	Graham Company - Philadelphia - Conference Room A
0D5600B4-EA53-E111-B8FE-00215ABCD1C5	PBS - Bethlehem - Community Room
8C43BBF8-0554-E111-B8FE-00215ABCD1C5	Morphotek - Exton - Building 210 - General Meeting Area
BAC3EA33-0654-E111-B8FE-00215ABCD1C5	Morphotek - Exton - Building 215 - Breakroom 105
D72184C4-0754-E111-B8FE-00215ABCD1C5	Morphotek - Exton - Building 215 - Innovations Divisible Conference Room 109 A/B
9C5DE88F-0854-E111-B8FE-00215ABCD1C5	Morphotek - Exton - Building 210 - Libradoma Divisible Conference Room
8E286741-4E58-E111-B8FE-00215ABCD1C5	Davita - Bridge of Life 1030
FB9B80A5-5858-E111-B8FE-00215ABCD1C5	Davita - KT Community Foundation (1046)
04A9A6A2-5C58-E111-B8FE-00215ABCD1C5	Davita - Kidney Trust (1081)
F29984A5-6058-E111-B8FE-00215ABCD1C5	DaVita - Village Network (1107)
1618DED1-6058-E111-B8FE-00215ABCD1C5	Davita - Village Vitality (1085)
40774ACC-6158-E111-B8FE-00215ABCD1C5	Davita - Symbols of Traditions (1073)
3AFCB6E0-6158-E111-B8FE-00215ABCD1C5	Davita - Spirit of Sharing (1182)
EA5725E4-6858-E111-B8FE-00215ABCD1C5	Davita - Star Trooper 1199
7EF1C8C7-7A58-E111-B8FE-00215ABCD1C5	DaVita - Malvern - Kidney Rock (1083)
D8500FDC-7A58-E111-B8FE-00215ABCD1C5	DaVita - Malvern - Village Room (1230)
F6C9852D-7B58-E111-B8FE-00215ABCD1C5	Davita - Malvern - Tour DaVita (1076)
36DCB07D-7B58-E111-B8FE-00215ABCD1C5	Davita - Academy/DSS (1181)
AA60D498-7B58-E111-B8FE-00215ABCD1C5	DaVita - Malvern - Training 2 (1142)
847D6CD7-7B58-E111-B8FE-00215ABCD1C5	DaVita - Malvern - ROPSA (1139)
F80FB7F9-7B58-E111-B8FE-00215ABCD1C5	Davita - Malvern - Town Hall 1094
745F5823-7C58-E111-B8FE-00215ABCD1C5	Davita - Trilogy of Care (1120)
94F69452-7C58-E111-B8FE-00215ABCD1C5	Davita - Background Music
CA5D90AA-7C58-E111-B8FE-00215ABCD1C5	Davita - Sound Masking
D6ED64D0-7C58-E111-B8FE-00215ABCD1C5	Davita - ETV
4AC3E35B-7E58-E111-B8FE-00215ABCD1C5	Davita - Call Center Monitors
0E1EE478-7E58-E111-B8FE-00215ABCD1C5	Davita - Call Center Manager Offices (1129, 1157)
0C798A97-7E58-E111-B8FE-00215ABCD1C5	Davita - Game Room 1106
132B0D32-6D5A-E211-BE41-00215ABCD1C5	WSLC-104
677C3CA8-6D5A-E211-BE41-00215ABCD1C5	WSLC-132
8DEBC049-3F5F-E211-BE41-00215ABCD1C5	AACR - Philadelphia - Divisible Room A
A7D2895C-3F5F-E211-BE41-00215ABCD1C5	AACR - Philadelphia - Divisible Room B
6FD94E6E-3F5F-E211-BE41-00215ABCD1C5	AACR - Philadelphia - Divisible Room C
55467086-3F5F-E211-BE41-00215ABCD1C5	AACR - Philadelphia - Divisible Room D
9F2DE44F-1C7F-E111-BE65-00215ABCD1C5	Virtua Health Systems - Marlton, NJ - 301 Lippincott Star A
ADC42389-1C7F-E111-BE65-00215ABCD1C5	Virtua Health Systems - Marlton, NJ - 301 Lippincott Star B
1180A2AE-1C7F-E111-BE65-00215ABCD1C5	Virtua Health Systems - Marlton, NJ - 301 Lippincott Teamwork
956CB0CA-5BA5-E111-BE65-00215ABCD1C5	VH-B1
B15B2552-13AF-E111-BE65-00215ABCD1C5	NCO -  Dallas CEO Office Lounge 330 331
3944CF64-13AF-E111-BE65-00215ABCD1C5	NCO - Dallas Boardroom 329
F173C879-13AF-E111-BE65-00215ABCD1C5	NCO - Dallas Boardroom 311
DFDB548D-13AF-E111-BE65-00215ABCD1C5	NCO - Dallas Telepresence Room 327
FF6119A8-DDAF-E111-BE65-00215ABCD1C5	American Friends Service Committee - Rufus Jones
57D80572-A2B1-E111-BE65-00215ABCD1C5	American Friends Service Committee - Bob Goodman's Office
5812F9BE-A9B1-E111-BE65-00215ABCD1C5	American Friends Service Committee - Rufus Jones  Lutron Lighting
4D6C2D66-ACB1-E111-BE65-00215ABCD1C5	American Friends Service Committee - Training Center
D9132C78-46BA-E111-BE65-00215ABCD1C5	Teva - Horsham Room 305
93F7A2D3-1D28-4297-A53F-003A6178CE17	Astrazeneca Wilmington DE NATP FOC WG-572 Team Room
4D396B05-C5B3-E511-9C31-005056861309	Conduent - Cherry Hill, NJ - Woodcrest Conference Room
191F6E93-D3B3-E511-9C31-005056861309	County of Chester - West Chester, PA - Domestic Relations Training Room A
2C2DAA9A-61B8-E511-9C31-005056861309	Brandywine Global - Philadelphia - Franklin Conference Room
C249BE5B-64B8-E511-9C31-005056861309	Power Home Remodeling - Chester, PA - Sales Floor
7C0292FC-65B8-E511-9C31-005056861309	Cutanea Life Science - Wayne, PA - Office 318
B20E5E3A-66B8-E511-9C31-005056861309	Cutanea Life Science - Wayne, PA - Office 319
12B58924-67B8-E511-9C31-005056861309	Amwins - Birmingham, AL - Conference Room 501
DE923B57-67B8-E511-9C31-005056861309	Amwins - Birmingham, AL - Conference Room 529
67A49B86-67B8-E511-9C31-005056861309	Amwins - Birmingham, AL - Reception
299A5EC0-67B8-E511-9C31-005056861309	Amwins - Birmingham, AL - Collaboration Area
EE26F7EA-67B8-E511-9C31-005056861309	Amwins - Birmingham, AL - Cafe
3A1443A8-6EB8-E511-9C31-005056861309	AmerisourceBergen - Chesterbrook - Main Conference Room 1325 bldg
9FD7EC42-70B8-E511-9C31-005056861309	Campbell Soup Company - Camden, NJ - Watercress Huddle Room 1405
1C01DA6C-70B8-E511-9C31-005056861309	Campbell Soup Company - Camden, NJ - Huddle Room 1418
D729859B-70B8-E511-9C31-005056861309	Campbell Soup Company - Camden, NJ - Pear Huddle Room 1444
56F294CF-70B8-E511-9C31-005056861309	Campbell Soup Company - Camden, NJ - Banana Huddle Room 1445
121B8204-71B8-E511-9C31-005056861309	Campbell Soup Company - Camden, NJ - WHQ Fueling Growth 1428
BD502B3A-71B8-E511-9C31-005056861309	Campbell Soup Company - Camden, NJ - Team Room 1441
286C3764-71B8-E511-9C31-005056861309	Campbell Soup Company - Camden, NJ - Team Room 1513
FD3967AF-71B8-E511-9C31-005056861309	Campbell Soup Company - Camden, NJ - Auction Room 1510
FC746AE9-71B8-E511-9C31-005056861309	Campbell Soup Company - Camden, NJ - Digital Signage
8EF2C227-72B8-E511-9C31-005056861309	Campbell Soup Company - Camden, NJ - Area 1433
B5E0E15E-72B8-E511-9C31-005056861309	Campbell Soup Company - Camden, NJ - CATV Office 1
699DD684-72B8-E511-9C31-005056861309	Campbell Soup Company - Camden, NJ - CATV Office 2
D5EE1CB0-72B8-E511-9C31-005056861309	Campbell Soup Company - Camden, NJ - CATV Office 3
E29818CD-72B8-E511-9C31-005056861309	Campbell Soup Company - Camden, NJ - CATV Office 4
2F27FFC9-77B8-E511-9C31-005056861309	Campbell Soup Company - Camden, NJ - Beets Huddle Room 1640
0E9793F9-77B8-E511-9C31-005056861309	Campbell Soup Company - Camden, NJ - Team Room 1423
540A5520-78B8-E511-9C31-005056861309	Campbell Soup Company - Camden, NJ - Automation 1637
9F75D146-78B8-E511-9C31-005056861309	Campbell Soup Company - Camden, NJ - VTC Room 1424
A5F0B83E-79B8-E511-9C31-005056861309	Davis Wright Tremaine LLP - Washington, DC - Jack Cole Conference Room
010E86B4-79B8-E511-9C31-005056861309	Davis Wright Tremaine LLP - Washington, DC - 8004 A - Davis Conference Room
065418E2-79B8-E511-9C31-005056861309	Davis Wright Tremaine LLP - Washington, DC - 8004 B - Wright Conference Room
AC91820B-7AB8-E511-9C31-005056861309	Davis Wright Tremaine LLP - Washington, DC - 8004 C - Tremaine Conference Room
62A7D539-7AB8-E511-9C31-005056861309	Davis Wright Tremaine LLP - Washington, DC - 7001 - Rick Cys
5157C7D3-7DB8-E511-9C31-005056861309	DTS- Electrical Contractors Association of Ontario 702
69BE48E2-7DB8-E511-9C31-005056861309	DTS- Electrical Contractors Association of Ontario 702
3D69D019-7EB8-E511-9C31-005056861309	DTS- Luminous lunch room
141F2132-7EB8-E511-9C31-005056861309	DTS- Luminous- SL Meeting room
6219EC42-7EB8-E511-9C31-005056861309	DTS- Luminous- Luminous Meeting Room
CFA8A956-7EB8-E511-9C31-005056861309	DTS- Luminous- HUB Area
316BD36B-7EB8-E511-9C31-005056861309	DTS- Luminous- video wall
FB124B9D-7EB8-E511-9C31-005056861309	DTS- Teknion- Boardroom
EC9B89AD-7EB8-E511-9C31-005056861309	DTS- Teknion- videowall
B7ED68BD-7EB8-E511-9C31-005056861309	DTS- Teknion- room schedulers
B8ED68BD-7EB8-E511-9C31-005056861309	Power Home Remodeling - Elkridge, MD - Large Conference Room
9D3D23D9-7EB8-E511-9C31-005056861309	DTS-Teknion- 2010
384D90E8-7EB8-E511-9C31-005056861309	DTS- Teknion- 2025
